Location,Period,Price,Demand,Supply,Netflow,f_to_1,f_to_2,f_to_3,f_to_4,transfer_surplus
1,14,225.375,9900.8,-9600.8,300.0,0.0,0.0,300.0,0.0,16740.000000000004
2,14,37.125,463.48,-1199.0,-735.52,300.0,0.0,300.0,135.51999999999998,129690.0
3,14,281.175,7410.96,-6510.959999999999,900.0000000000009,0.0,0.0,0.0,0.0,0.0
4,14,37.125,1211.2,-1675.6799999999998,-464.4799999999998,300.0,0.0,300.0,0.0,129690.0
1,15,207.225,10016.3,-9716.3,300.0,0.0,0.0,300.0,0.0,22185.000000000004
2,15,37.125,456.0,-1223.52,-767.52,300.0,0.0,300.0,167.51999999999998,124245.0
3,15,281.175,7410.96,-6510.959999999999,900.0000000000009,0.0,0.0,0.0,0.0,0.0
4,15,37.125,1211.2,-1643.6799999999998,-432.4799999999998,300.0,0.0,300.0,0.0,124245.0
1,16,207.225,9976.4,-9676.399999999998,300.0000000000018,0.0,0.0,300.0,0.0,29655.0
2,16,37.125,856.0,-1756.0,-900.0,300.0,0.0,300.0,300.0,131715.0
3,16,306.075,7422.960000000002,-6522.959999999999,900.0000000000027,0.0,0.0,0.0,0.0,0.0
4,16,37.125,1371.1999999999998,-1671.2,-300.0000000000002,300.0,0.0,300.0,0.0,131715.0
1,17,207.225,9946.0,-9645.999999999998,300.0000000000018,0.0,0.0,300.0,0.0,33614.99999999999
2,17,37.125,709.0,-1609.0,-900.0,300.0,0.0,300.0,300.0,144639.0
3,17,319.275,6808.560000000004,-5908.5599999999995,900.0000000000045,0.0,0.0,0.0,0.0,0.0
4,17,67.005,934.4,-1234.3999999999999,-299.9999999999999,300.0,0.0,300.0,0.0,117747.0
1,18,200.625,9872.900000000001,-9572.9,300.0000000000018,0.0,0.0,300.0,0.0,142650.0
2,18,37.125,708.9999999999999,-1609.0,-900.0000000000001,300.0,0.0,300.0,300.0,249714.0
3,18,676.125,6629.760000000002,-5729.76,900.0000000000018,0.0,0.0,0.0,0.0,0.0
4,18,67.005,922.4,-1222.3999999999999,-299.9999999999999,300.0,0.0,300.0,0.0,222822.0
1,19,190.875,9704.800000000001,-9404.8,300.0000000000018,0.0,0.0,300.0,0.0,145575.0
2,19,37.125,749.0,-1649.0,-900.0,300.0,0.0,300.0,300.0,246789.0
3,19,676.125,7041.520000000002,-6141.52,900.0000000000018,0.0,0.0,0.0,0.0,0.0
4,19,67.005,1078.4,-1378.3999999999999,-299.9999999999998,300.0,0.0,300.0,0.0,219897.0
1,20,190.875,9705.400000000001,-9405.4,300.0000000000018,0.0,0.0,300.0,0.0,145575.0
2,20,37.125,856.0,-1756.0,-900.0,300.0,0.0,300.0,300.0,246789.0
3,20,676.125,7508.160000000002,-6608.160000000001,900.0000000000009,0.0,0.0,0.0,0.0,0.0
4,20,67.005,1078.4,-1378.4,-300.0,300.0,0.0,300.0,0.0,219897.0
1,21,190.875,9705.000000000004,-9405.0,300.00000000000364,0.0,0.0,300.0,0.0,36135.0
2,21,37.125,708.9999999999999,-1609.0,-900.0000000000001,300.0,0.0,300.0,300.0,133560.0
3,21,311.325,8035.999999999997,-7136.000000000001,899.9999999999964,0.0,0.0,0.0,0.0,0.0
4,21,54.37499999999999,1082.4,-1382.3999999999999,-299.9999999999998,300.0,0.0,300.0,0.0,118035.0
1,22,190.875,9705.0,-9405.0,300.0,0.0,0.0,300.0,0.0,0.0
2,22,37.125,856.0,-1756.0,-900.0,300.0,0.0,300.0,300.0,97425.0
3,22,190.875,8167.92,-7267.9200000000055,899.9999999999945,0.0,0.0,0.0,0.0,0.0
4,22,54.37499999999999,1078.4,-1378.4,-300.0,300.0,0.0,300.0,0.0,81900.0
1,23,281.175,9765.1,-9297.18,467.9200000000001,0.0,0.0,132.08000000000084,0.0,0.0
2,23,37.125,846.0,-1746.0,-900.0,300.0,0.0,300.0,300.0,151605.0
3,23,281.175,8131.920000000001,-7399.84,732.0800000000008,0.0,0.0,0.0,0.0,0.0
4,23,54.37499999999999,1074.4,-1374.4,-300.0,300.0,0.0,300.0,0.0,136080.0
1,24,281.175,9800.0,-9260.079999999998,539.9200000000019,0.0,0.0,60.07999999999811,0.0,0.0
2,24,37.125,664.0,-1564.0,-900.0,300.0,0.0,300.0,300.0,151605.0
3,24,281.175,8099.920000000001,-7439.84,660.0800000000008,0.0,0.0,0.0,0.0,0.0
4,24,54.37499999999999,1082.4,-1382.4,-300.0,300.0,0.0,300.0,0.0,136080.0
